Pick,Player
1,Kwame Brown
2,Tyson Chandler
3,Pau Gasol
4,Eddy Curry
5,Jason Richardson
6,Shane Battier
7,Eddie Griffin
8,DeSagana Diop
9,Rodney White
10,Joe Johnson
11,Kedrick Brown
12,Vladimir Radmanovic
13,Richard Jefferson
14,Troy Murphy
15,Steven Hunter
16,Kirk Haston
17,Michael Bradley
18,Jason Collins
19,Zach Randolph
20,Brendan Haywood
21,Joseph Forte
22,Jeryl Sasser
23,Brandon Armstrong
24,Raul Lopez
25,Gerald Wallace
26,Samuel Dalembert
27,Jamaal Tinsley
28,Tony Parker
29,Trenton Hassell
30,Gilbert Arenas
31,Omar Cook
32,Will Solomon
33,Terence Morris
34,Brian Scalabrine
35,Jeff Trepagnier
36,Damone Brown
37,Mehmet Okur
38,Michael Wright
39,Earl Watson
40,Jamison Brewer
41,Bobby Simmons
42,Eric Chenowith
43,Kyle Hill
44,Sean Lampley
45,Loren Woods
46,Ousmane Cisse
47,Antonis Fotsis
48,Ken Johnson
49,Ruben Boumtje-Boumtje
50,Alton Ford
51,Andre Hutson
52,Jarron Collins
53,Kenny Satterfield
54,Maurice Jeffers
55,Robertas Javtokas
56,Alvin Jones
57,Bryan Bracey
1,Yao Ming
2,Jay Williams
3,Mike Dunleavy
4,Drew Gooden
5,Nikoloz Tskitishvili
6,Dajuan Wagner
7,Nene Hilario
8,Chris Wilcox
9,Amar'e Stoudemire
10,Caron Butler
11,Jared Jeffries
12,Melvin Ely
13,Marcus Haislip
14,Fred Jones
15,Bostjan Nachbar
16,Jiri Welsch
17,Juan Dixon
18,Curtis Borchardt
19,Ryan Humphrey
20,Kareem Rush
21,Qyntel Woods
22,Casey Jacobsen
23,Tayshaun Prince
24,Nenad Krstic
25,Frank Williams
26,John Salmons
27,Chris Jefferies
28,Dan Dickau
29,Steve Logan
30,Roger Mason
31,Robert Archibald
32,Vincent Yarbrough
33,Dan Gadzuric
34,Carlos Boozer
35,Milos Vujanic
36,David Andersen
37,Tito Maddox
38,Rod Grizzard
39,Juan Carlos Navarro
40,Mario Kasun
41,Ronald Murray
42,Jason Jennings
43,Lonny Baxter
44,Sam Clancy
45,Matt Barnes
46,Jamal Sampson
47,Chris Owens
48,Peter Fehse
49,Darius Songaila
50,Federico Kammerichs
51,Marcus Taylor
52,Rasual Butler
53,Tamar Slay
54,Mladen Sekularac
55,Luis Scola
56,Randy Holcomb
57,Corsley Edwards
1,LeBron James
2,Darko Milicic
3,Carmelo Anthony
4,Chris Bosh
5,Dwyane Wade
6,Chris Kaman
7,Kirk Hinrich
8,T.J. Ford
9,Mike Sweetney
10,Jarvis Hayes
11,Mickael Pietrus
12,Nick Collison
13,Marcus Banks
14,Luke Ridnour
15,Reece Gaines
16,Troy Bell
17,Zarko Cabarkapa
18,David West
19,Sasha Pavlovic
20,Dahntay Jones
21,Boris Diaw
22,Zoran Planinic
23,Travis Outlaw
24,Brian Cook
25,Carlos Delfino
26,Ndudi Ebi
27,Kendrick Perkins
28,Leandro Barbosa
29,Josh Howard
30,Maciej Lampe
31,Jason Kapono
32,Luke Walton
33,Jerome Beasley
34,Sofoklis Schortsanitis
35,Szymon Szewczyk
36,Mario Austin
37,Travis Hansen
38,Steve Blake
39,Slavko Vranes
40,Derrick Zimmerman
41,Willie Green
42,Zaza Pachulia
43,Keith Bogans
44,Malick Badiane
45,Matt Bonner
46,Sani Becirovic
47,Mo Williams
48,James Lang
49,James Jones
50,Paccelis Morlende
51,Kyle Korver
52,Remon Van de Hare
53,Tommy Smith
54,Nedzad Sinanovic
55,Rick Rickert
56,Brandon Hunter
57,Xue Yuyang
58,Andreas Glyniadakis
1,Dwight Howard
2,Emeka Okafor
3,Ben Gordon
4,Shaun Livingston
5,Devin Harris
6,Josh Childress
7,Luol Deng
8,Rafael Araujo
9,Andre Iguodala
10,Luke Jackson
11,Andris Biedrins
12,Robert Swift
13,Sebastian Telfair
14,Kris Humphries
15,Al Jefferson
16,Kirk Snyder
17,Josh Smith
18,J.R. Smith
19,Dorell Wright
20,Jameer Nelson
21,Pavel Podkolzin
22,Viktor Khryapa
